iter	RMSE
0	4246.639582
1	3908.54928
2	3610.31702
3	3350.887093
4	3122.130634
5	2927.774214
6	2760.571441
7	2615.505478
8	2492.065109
9	2381.389012
10	2287.271693
11	2207.399981
12	2139.750611
13	2081.588056
14	2031.610768
15	1983.727168
16	1945.478645
17	1909.532422
18	1878.381049
19	1854.335948
20	1832.737188
21	1812.957219
22	1792.29683
23	1777.696783
24	1763.748759
25	1749.052064
26	1736.602889
27	1721.608918
28	1712.803219
29	1704.778832
30	1696.063451
31	1687.02258
32	1678.964632
33	1672.772466
34	1667.469077
35	1662.731675
36	1657.001308
37	1653.564774
38	1647.610326
39	1643.342894
40	1639.77617
41	1636.380048
42	1633.949524
43	1630.144079
44	1625.828561
45	1622.49853
46	1620.200803
47	1617.431418
48	1612.96068
49	1609.846891
50	1607.228932
51	1605.187768
52	1601.985309
53	1599.46441
54	1597.038426
55	1594.560353
56	1592.491569
57	1590.711338
58	1588.451238
59	1585.48516
60	1584.143936
61	1582.588183
62	1580.876877
63	1579.110158
64	1576.43556
65	1574.181593
66	1572.449412
67	1569.969946
68	1568.589453
69	1566.839604
70	1565.227959
71	1562.949261
72	1561.298031
73	1559.805402
74	1558.166815
75	1556.090648
76	1554.706197
77	1552.709804
78	1549.066217
79	1548.0211
80	1545.949538
81	1544.370053
82	1542.387821
83	1540.860042
84	1539.92034
85	1537.391181
86	1537.166049
87	1535.123906
88	1533.511583
89	1531.094861
90	1529.250332
91	1528.477579
92	1527.491395
93	1525.717155
94	1523.998721
95	1522.520861
96	1521.384385
97	1519.006337
98	1518.034148
99	1515.202581
100	1514.400664
101	1513.534237
102	1512.564179
103	1511.416122
104	1510.165569
105	1509.137589
106	1507.178292
107	1506.284219
108	1504.903118
109	1504.059525
110	1502.492822
111	1501.145119
112	1500.031068
113	1498.369748
114	1497.004042
115	1496.147654
116	1495.235777
117	1494.761404
118	1494.0712
119	1492.748873
120	1491.930018
121	1490.736365
122	1489.784194
123	1489.174285
124	1488.244276
125	1487.467014
126	1484.710922
127	1483.51516
128	1482.904042
129	1482.123977
130	1480.477529
131	1479.606648
132	1479.165713
133	1477.824261
134	1477.177523
135	1476.581618
136	1475.681646
137	1474.228687
138	1473.059712
139	1471.473772
140	1469.671649
141	1469.132843
142	1468.763175
143	1468.308404
144	1467.04858
145	1465.83552
146	1464.480689
147	1463.306139
148	1462.455337
149	1461.511398
150	1461.073592
151	1460.229828
152	1459.349112
153	1458.372239
154	1457.682635
155	1456.912395
156	1455.715001
157	1453.83822
158	1452.776626
159	1452.035737
160	1450.949338
161	1450.669776
162	1449.982103
163	1449.298516
164	1448.035848
165	1447.502797
166	1446.90104
167	1446.42499
168	1444.657357
169	1443.635332
170	1443.325979
171	1442.583536
172	1441.716289
173	1441.278091
174	1440.902185
175	1439.51996
176	1438.731861
177	1437.643472
178	1437.143448
179	1436.691008
180	1435.960034
181	1435.359709
182	1434.808107
183	1433.915571
184	1432.496505
185	1431.987809
186	1430.703743
187	1429.651295
188	1429.145975
189	1428.162754
190	1427.325323
191	1425.760568
192	1425.273044
193	1424.625106
194	1423.938139
195	1423.263444
196	1422.909942
197	1422.24121
198	1421.278896
199	1420.905592
200	1420.655802
201	1420.281767
202	1419.311863
203	1418.235627
204	1417.984394
205	1417.527057
206	1416.815409
207	1416.364858
208	1415.451397
209	1414.713998
210	1414.544011
211	1413.700252
212	1412.805686
213	1412.537961
214	1411.380759
215	1410.787368
216	1410.21867
217	1409.996975
218	1409.404303
219	1408.65206
220	1408.219391
221	1407.569354
222	1405.869167
223	1405.577782
224	1404.464665
225	1403.811922
226	1403.015928
227	1402.360557
228	1401.914737
229	1400.872947
230	1400.340995
231	1399.721615
232	1399.495213
233	1399.32924
234	1398.482466
235	1397.778057
236	1397.055102
237	1396.403458
238	1395.024404
239	1393.683451
240	1392.916873
241	1392.33903
242	1391.252837
243	1390.679667
244	1389.999106
245	1389.40532
246	1389.003435
247	1388.564853
248	1388.450681
249	1387.941732
250	1387.35326
251	1386.606937
252	1386.336239
253	1385.867313
254	1385.658458
255	1384.897571
256	1384.603476
257	1384.065822
258	1383.512506
259	1382.878682
260	1382.652513
261	1382.041185
262	1381.270127
263	1380.847253
264	1380.062105
265	1379.788482
266	1379.388112
267	1379.172435
268	1378.805728
269	1378.665746
270	1378.135155
271	1377.672625
272	1377.192943
273	1376.673721
274	1376.31385
275	1375.876641
276	1375.203959
277	1374.708654
278	1374.170925
279	1373.490144
280	1372.506838
281	1372.26498
282	1371.942185
283	1371.310035
284	1370.824632
285	1370.239948
286	1370.073273
287	1369.784734
288	1369.220126
289	1368.619755
290	1368.302357
291	1367.387921
292	1367.067725
293	1366.790361
294	1366.371916
295	1365.871577
296	1365.313958
297	1364.78397
298	1364.637903
299	1364.107146
300	1363.28929
301	1362.773149
302	1362.065727
303	1361.452145
304	1361.360452
305	1360.782901
306	1360.485423
307	1360.41854
308	1359.872027
309	1359.363701
310	1358.522368
311	1358.017547
312	1357.652764
313	1357.06388
314	1356.687214
315	1355.989058
316	1355.189361
317	1354.778593
318	1354.133971
319	1353.057921
320	1352.265312
321	1351.969975
322	1351.742318
323	1351.562571
324	1351.21152
325	1350.9117
326	1350.512287
327	1349.971443
328	1349.6669
329	1349.374719
330	1349.106852
331	1348.577849
332	1348.238353
333	1347.551223
334	1347.177266
335	1347.086195
336	1346.473444
337	1346.044449
338	1345.477288
339	1345.314731
340	1345.21508
341	1344.648058
342	1344.366513
343	1343.882884
344	1343.59752
345	1343.127847
346	1342.489218
347	1342.15462
348	1342.093647
349	1341.844742
350	1341.221994
351	1340.525248
352	1340.094158
353	1339.625972
354	1339.316559
355	1338.938777
356	1338.424743
357	1338.037089
358	1337.653015
359	1337.070644
360	1336.786296
361	1336.156563
362	1335.463971
363	1335.351747
364	1334.875641
365	1334.671668
366	1334.264918
367	1333.517017
368	1333.379821
369	1332.716718
370	1332.382672
371	1332.291256
372	1332.035809
373	1331.676322
374	1331.045376
375	1330.787348
376	1330.384296
377	1329.998853
378	1329.356938
379	1328.902753
380	1328.094226
381	1327.896495
382	1327.842555
383	1327.380919
384	1327.229595
385	1326.090299
386	1325.89421
387	1325.747495
388	1324.990155
389	1324.773468
390	1324.536021
391	1324.1567
392	1323.546857
393	1323.332536
394	1323.182293
395	1322.890172
396	1322.605483
397	1322.334008
398	1322.056842
399	1321.767203
400	1320.807302
401	1320.306156
402	1320.099502
403	1319.872513
404	1319.479968
405	1319.168808
406	1318.968231
407	1318.694055
408	1318.525332
409	1318.347458
410	1317.936524
411	1317.382032
412	1316.993073
413	1316.564717
414	1316.241951
415	1316.005649
416	1315.631258
417	1315.547797
418	1315.325852
419	1314.844531
420	1314.125929
421	1313.883052
422	1313.532875
423	1313.281679
424	1312.789724
425	1312.449218
426	1312.145251
427	1312.061545
428	1311.221235
429	1310.524401
430	1310.283114
431	1309.986352
432	1309.842124
433	1309.617471
434	1309.367894
435	1309.26427
436	1309.039888
437	1308.90495
438	1308.712939
439	1308.477845
440	1307.406994
441	1307.077621
442	1306.619954
443	1306.032252
444	1305.721607
445	1305.598182
446	1305.353201
447	1304.956611
448	1304.827443
449	1304.500807
450	1304.348346
451	1303.869383
452	1303.670226
453	1303.275954
454	1303.027353
455	1302.431231
456	1302.092193
457	1301.787194
458	1301.595397
459	1301.524842
460	1301.242595
461	1301.048911
462	1300.639102
463	1300.593035
464	1300.333641
465	1300.084612
466	1299.730013
467	1299.454239
468	1299.195526
469	1298.634518
470	1298.166684
471	1298.075382
472	1297.274533
473	1296.739124
474	1296.54025
475	1296.081411
476	1295.608646
477	1294.85408
478	1294.587633
479	1294.216725
480	1293.969527
481	1293.661407
482	1293.478033
483	1293.002977
484	1292.721733
485	1292.132236
486	1291.894456
487	1291.854913
488	1291.589903
489	1291.320424
490	1291.031131
491	1290.794435
492	1290.598871
493	1290.24282
494	1289.911108
495	1289.612096
496	1289.396614
497	1288.829007
498	1288.508163
499	1288.179471
500	1287.634363
501	1287.551584
502	1287.249827
503	1286.962289
504	1286.569186
505	1286.437807
506	1285.556898
507	1285.122624
508	1284.807382
509	1284.525823
510	1284.344582
511	1284.127147
512	1284.005371
513	1283.587266
514	1283.22724
515	1282.932975
516	1282.529584
517	1282.198503
518	1282.137851
519	1281.763167
520	1281.726489
521	1281.620217
522	1281.150931
523	1281.024409
524	1280.880191
525	1280.473587
526	1280.379696
527	1280.243976
528	1279.87587
529	1279.499883
530	1279.275365
531	1278.93328
532	1278.929661
533	1278.810904
534	1278.507148
535	1278.076979
536	1277.594567
537	1277.351044
538	1276.745603
539	1276.446135
540	1276.197204
541	1275.868688
542	1275.64614
543	1275.422835
544	1275.237974
545	1274.734712
546	1274.554023
547	1274.381541
548	1274.158239
549	1274.008527
550	1273.735617
551	1273.476008
552	1273.278005
553	1273.081601
554	1272.926026
555	1272.791741
556	1272.508184
557	1272.105029
558	1271.728945
559	1271.387337
560	1271.061837
561	1270.793776
562	1270.580895
563	1270.555162
564	1270.205673
565	1269.976324
566	1269.757833
567	1269.558631
568	1269.351258
569	1269.153518
570	1269.008859
571	1268.837707
572	1268.561638
573	1268.202452
574	1267.965467
575	1267.780593
576	1267.066548
577	1266.837886
578	1266.550547
579	1266.376284
580	1266.14591
581	1265.8534
582	1265.619918
583	1265.200115
584	1265.054465
585	1264.899545
586	1264.685749
587	1264.581721
588	1264.533655
589	1263.984627
590	1263.784446
591	1263.552158
592	1263.434642
593	1263.259515
594	1263.095556
595	1262.976963
596	1262.693773
597	1262.451149
598	1262.024321
599	1261.833311
600	1261.543953
601	1261.292203
602	1260.807084
603	1260.738655
604	1260.418782
605	1260.409755
606	1260.105944
607	1259.33754
608	1259.054135
609	1258.818417
610	1258.752278
611	1258.17909
612	1258.109308
613	1257.86356
614	1257.666112
615	1257.321292
616	1257.257284
617	1257.080668
618	1256.995503
619	1256.489805
620	1256.334459
621	1256.082975
622	1255.369103
623	1255.234402
624	1254.83257
625	1254.633727
626	1254.272706
627	1254.042635
628	1253.890681
629	1253.687893
630	1253.481284
631	1253.139015
632	1252.777348
633	1252.698108
634	1252.547486
635	1252.429133
636	1252.283788
637	1252.136999
638	1251.601868
639	1251.37728
640	1250.710118
641	1250.541106
642	1250.419723
643	1249.933955
644	1249.550871
645	1249.281617
646	1249.033117
647	1248.643847
648	1248.594469
649	1248.583328
650	1248.487097
651	1248.190632
652	1247.885532
653	1247.344234
654	1247.322801
655	1247.287359
656	1247.0525
657	1246.955513
658	1246.614146
659	1246.50492
660	1246.344768
661	1246.016622
662	1245.758465
663	1245.719509
664	1245.081226
665	1244.94301
666	1244.724079
667	1244.466835
668	1244.252125
669	1243.57446
670	1243.351069
671	1243.15043
672	1242.962067
673	1242.658772
674	1242.561612
675	1242.27949
676	1241.955044
677	1241.70231
678	1241.655532
679	1241.553979
680	1241.480991
681	1241.303646
682	1240.847813
683	1240.73157
684	1240.531407
685	1240.365124
686	1240.23224
687	1239.867414
688	1239.721283
689	1239.441509
690	1238.90293
691	1238.774073
692	1238.413277
693	1238.030027
694	1237.646189
695	1237.515827
696	1237.257578
697	1236.9738
698	1236.626558
699	1236.439521
700	1235.934706
701	1235.5255
702	1235.330846
703	1235.055243
704	1234.744133
705	1234.596778
706	1234.366542
707	1234.169511
708	1234.123751
709	1233.680824
710	1233.169384
711	1233.029611
712	1232.515692
713	1232.31539
714	1232.126069
715	1231.992492
716	1231.864792
717	1231.767025
718	1231.487178
719	1231.313168
720	1231.208459
721	1231.071272
722	1231.005677
723	1230.937197
724	1230.631248
725	1230.502966
726	1230.379724
727	1229.942149
728	1229.804388
729	1229.623836
730	1229.397225
731	1229.234886
732	1229.135318
733	1228.963274
734	1228.852787
735	1228.74108
736	1228.454196
737	1228.31122
738	1228.086514
739	1227.899118
740	1227.713041
741	1227.529037
742	1227.347652
743	1227.149341
744	1226.806953
745	1226.715304
746	1226.585193
747	1226.520525
748	1226.416216
749	1226.238074
750	1226.12066
751	1225.647189
752	1225.434706
753	1225.291056
754	1225.182236
755	1224.937219
756	1224.919109
757	1224.661669
758	1224.515939
759	1224.332695
760	1224.114117
761	1223.974958
762	1223.532806
763	1223.352609
764	1223.08723
765	1222.990918
766	1222.745258
767	1222.478595
768	1222.41125
769	1222.344161
770	1222.231525
771	1221.969211
772	1221.634847
773	1221.442517
774	1221.106511
775	1220.915751
776	1220.768201
777	1220.651128
778	1220.395361
779	1220.207144
780	1220.145183
781	1219.81954
782	1219.710897
783	1219.708639
784	1219.534297
785	1218.983914
786	1218.710719
787	1218.415348
788	1218.27232
789	1218.177295
790	1218.007701
791	1217.719717
792	1217.568714
793	1217.366556
794	1216.840832
795	1216.689088
796	1216.444832
797	1216.307885
798	1216.20848
799	1216.074226
800	1215.847015
801	1215.615081
802	1215.487064
803	1215.400607
804	1214.963954
805	1214.890719
806	1214.789146
807	1214.686787
808	1214.646313
809	1214.607375
810	1213.910497
811	1213.731256
812	1213.178959
813	1213.089905
814	1213.083685
815	1213.069028
816	1212.823126
817	1212.282409
818	1212.093486
819	1211.979031
820	1211.730715
821	1211.533248
822	1211.467596
823	1211.298868
824	1211.243392
825	1211.18389
826	1211.049408
827	1210.815067
828	1210.558092
829	1210.18048
830	1210.0282
831	1209.978316
832	1209.905598
833	1209.804236
834	1209.485925
835	1209.172839
836	1208.808261
837	1208.489412
838	1208.39073
839	1208.171936
840	1208.158607
841	1207.972488
842	1207.533784
843	1207.379867
844	1207.159246
845	1207.087945
846	1206.962261
847	1206.797116
848	1206.600219
849	1206.266418
850	1206.050609
851	1205.977065
852	1205.714727
853	1205.45751
854	1205.390878
855	1205.289436
856	1205.001334
857	1204.876854
858	1204.66574
859	1204.580489
860	1204.309882
861	1203.915708
862	1203.889048
863	1203.77303
864	1203.52927
865	1203.41717
866	1203.159876
867	1202.995874
868	1202.778569
869	1202.68336
870	1202.495625
871	1202.21488
872	1202.085349
873	1201.732878
874	1201.422334
875	1201.322334
876	1201.180469
877	1200.952334
878	1200.78408
879	1200.463738
880	1200.419521
881	1200.387569
882	1200.161627
883	1199.921609
884	1199.867201
885	1199.707853
886	1199.633995
887	1199.476965
888	1199.295412
889	1199.154397
890	1198.972729
891	1198.792944
892	1198.699702
893	1198.409342
894	1198.213176
895	1198.186803
896	1198.031257
897	1197.952484
898	1197.645818
899	1197.562978
900	1197.34772
901	1197.127397
902	1196.935668
903	1196.914525
904	1196.661104
905	1196.347281
906	1196.172017
907	1195.951936
908	1195.869756
909	1195.699592
910	1195.5628
911	1195.318946
912	1195.18709
913	1195.057519
914	1194.807679
915	1194.624933
916	1194.616809
917	1194.522729
918	1194.43985
919	1194.242545
920	1194.137972
921	1193.812833
922	1193.674406
923	1193.551067
924	1193.537958
925	1193.429768
926	1193.22924
927	1192.978704
928	1192.801007
929	1192.663313
930	1192.566068
931	1192.553595
932	1192.506351
933	1192.439222
934	1192.265501
935	1192.154419
936	1191.924457
937	1191.572389
938	1191.394347
939	1191.229638
940	1191.208309
941	1191.152301
942	1191.135441
943	1190.999793
944	1190.952175
945	1190.746738
946	1190.69485
947	1190.637939
948	1190.173751
949	1189.921858
950	1189.76409
951	1189.708202
952	1189.436172
953	1189.402444
954	1189.215122
955	1188.801617
956	1188.671613
957	1188.523106
958	1188.374211
959	1188.224873
960	1188.090879
961	1187.884541
962	1187.77505
963	1187.754775
964	1187.567659
965	1187.451681
966	1187.050588
967	1186.774781
968	1186.496952
969	1186.422745
970	1186.025802
971	1185.812553
972	1185.794679
973	1185.748128
974	1185.594473
975	1185.406232
976	1185.285453
977	1185.134394
978	1184.877563
979	1184.745814
980	1184.527254
981	1184.299317
982	1184.060686
983	1183.977816
984	1183.859698
985	1183.541414
986	1183.183768
987	1183.08808
