iter	Passed	Remaining
0	636	126610
1	1266	125356
2	1926	126492
3	2589	126881
4	3220	125599
5	3843	124263
6	4496	123973
7	5221	125326
8	5935	125957
9	6631	125998
10	7299	125411
11	7970	124868
12	8656	124521
13	9378	124603
14	10038	123806
15	10687	122902
16	11353	122215
17	12001	121347
18	12624	120268
19	13268	119417
20	13925	118699
21	14587	118029
22	15233	117228
23	15872	116401
24	16514	115602
25	17193	115060
26	17859	114430
27	18483	113539
28	19130	112801
29	19800	112204
30	20449	111482
31	21097	110764
32	21757	110103
33	22478	109749
34	23122	109006
35	23739	108147
36	24397	107479
37	25053	106806
38	25711	106142
39	26332	105331
40	26980	104630
41	27604	103846
42	28235	103090
43	28875	102377
44	29565	101836
45	30189	101068
46	30833	100374
47	31502	99758
48	32156	99094
49	32812	98436
50	33455	97743
51	34102	97060
52	34837	96625
53	35511	96012
54	36196	95427
55	36919	94935
56	37614	94366
57	38285	93733
58	39045	93312
59	39728	92700
60	40388	92032
61	41043	91354
62	41702	90686
63	42368	90033
64	43035	89382
65	43699	88722
66	44337	88013
67	44980	87315
68	45631	86634
69	46272	85933
70	46958	85319
71	47614	84647
72	48259	83958
73	48897	83257
74	49600	82667
75	50230	81954
76	50864	81251
77	51509	80566
78	52188	79934
79	52828	79242
80	53472	78558
81	54103	77855
82	54839	77303
83	55482	76619
84	56124	75932
85	56761	75242
86	57405	74560
87	58045	73876
88	58676	73180
89	59322	72505
90	59952	71811
91	60607	71148
92	61251	70471
93	61967	69878
94	62623	69214
95	63275	68547
96	63908	67861
97	64588	67224
98	65219	66536
99	65971	65971
100	66659	65339
101	67343	64702
102	68005	64043
103	68665	63383
104	69375	62768
105	70052	62122
106	70681	61433
107	71309	60745
108	71975	60089
109	72632	59426
110	73287	58761
111	73958	58110
112	74609	57442
113	75262	56776
114	75897	56098
115	76568	55445
116	77237	54792
117	77883	54122
118	78560	53473
119	79299	52866
120	79961	52206
121	80596	51528
122	81225	50848
123	81882	50186
124	82519	49511
125	83167	48844
126	83839	48191
127	84514	47539
128	85165	46874
129	85790	46194
130	86437	45527
131	87091	44865
132	87718	44188
133	88376	43528
134	89020	42861
135	89675	42200
136	90312	41530
137	90943	40858
138	91679	40233
139	92351	39579
140	93001	38915
141	93644	38249
142	94329	37599
143	94986	36939
144	95658	36284
145	96325	35627
146	97024	34981
147	97718	34333
148	98397	33679
149	99084	33028
150	99763	32373
151	100444	31719
152	101094	31055
153	101729	30386
154	102390	29726
155	103119	29085
156	103786	28425
157	104438	27762
158	105079	27096
159	105239	26309
160	105885	25649
161	106531	24988
162	107205	24335
163	107850	23674
164	108498	23014
165	109170	22360
166	109854	21707
167	110500	21047
168	111148	20388
169	111803	19729
170	112478	19075
171	113122	18415
172	113774	17756
173	114441	17100
174	115128	16446
175	115823	15794
176	116497	15138
177	117157	14480
178	117823	13822
179	118478	13164
180	119125	12504
181	119764	11844
182	120421	11186
183	121046	10525
184	121707	9868
185	122372	9210
186	123012	8551
187	123678	7894
188	124313	7235
189	124971	6577
190	125710	5923
191	126419	5267
192	127218	4614
193	127913	3956
194	128608	3297
195	129262	2638
196	129940	1978
197	130598	1319
198	131274	659
199	131934	0
